vehicle_id,avl_timestamp,start_date,route_id,trip_id,stop_id,current_status,current_stop_seq,latitude,longitude,speed,bearing
5061,2024-11-01 16:38:41-05,2024-11-01,803,2811880_13111,5849,IN_TRANSIT_TO,7,30.356518,-97.73082,6.08,198.3
5061,2024-11-01 16:39:01-05,2024-11-01,803,2811880_13111,5849,IN_TRANSIT_TO,7,30.35484,-97.731674,10.77,208.5
5061,2024-11-01 16:39:11-05,2024-11-01,803,2811880_13111,5849,STOPPED_AT,7,30.35419,-97.73209,1.79,207
5061,2024-11-01 16:39:26-05,2024-11-01,803,2811880_13111,5849,STOPPED_AT,7,30.354181,-97.73209,0.58,
5061,2024-11-01 16:39:41-05,2024-11-01,803,2811880_13111,5744,IN_TRANSIT_TO,8,30.35314,-97.73273,14.31,209
5061,2024-11-01 16:40:01-05,2024-11-01,803,2811880_13111,5744,IN_TRANSIT_TO,8,30.35112,-97.73399,7.51,208.5
5061,2024-11-01 16:40:11-05,2024-11-01,803,2811880_13111,5744,IN_TRANSIT_TO,8,30.35095,-97.7341,0.45,
5061,2024-11-01 16:40:26-05,2024-11-01,803,2811880_13111,5744,IN_TRANSIT_TO,8,30.35047,-97.734406,10.51,208.3
5061,2024-11-01 16:40:41-05,2024-11-01,803,2811880_13111,5744,IN_TRANSIT_TO,8,30.34892,-97.73538,10.73,208
5061,2024-11-01 16:41:01-05,2024-11-01,803,2811880_13111,5744,IN_TRANSIT_TO,8,30.34713,-97.7365,15.65,208
5061,2024-11-01 16:41:11-05,2024-11-01,803,2811880_13111,5744,STOPPED_AT,8,30.34596,-97.73724,11.58,209.1
5061,2024-11-01 16:41:26-05,2024-11-01,803,2811880_13111,5744,STOPPED_AT,8,30.3456,-97.73747,0,
5061,2024-11-01 16:41:36-05,2024-11-01,803,2811880_13111,5744,STOPPED_AT,8,30.3456,-97.73747,0,
5061,2024-11-01 16:42:01-05,2024-11-01,803,2811880_13111,4204,IN_TRANSIT_TO,9,30.344522,-97.7381,14.35,202.5
5061,2024-11-01 16:42:11-05,2024-11-01,803,2811880_13111,4204,IN_TRANSIT_TO,9,30.343166,-97.738556,16.85,189.7
5061,2024-11-01 16:42:26-05,2024-11-01,803,2811880_13111,4204,IN_TRANSIT_TO,9,30.340786,-97.738914,17.84,187.9
5061,2024-11-01 16:42:41-05,2024-11-01,803,2811880_13111,4204,IN_TRANSIT_TO,9,30.338451,-97.73929,16.18,188.6
5061,2024-11-01 16:43:01-05,2024-11-01,803,2811880_13111,4204,IN_TRANSIT_TO,9,30.33578,-97.73973,10.73,188
5061,2024-11-01 16:43:16-05,2024-11-01,803,2811880_13111,4204,IN_TRANSIT_TO,9,30.335163,-97.73982,0.04,
5061,2024-11-01 16:43:26-05,2024-11-01,803,2811880_13111,4204,IN_TRANSIT_TO,9,30.33516,-97.73982,0.89,
5061,2024-11-01 16:43:41-05,2024-11-01,803,2811880_13111,4204,IN_TRANSIT_TO,9,30.33421,-97.73998,10.15,188.1
5061,2024-11-01 16:43:56-05,2024-11-01,803,2811880_13111,4204,STOPPED_AT,9,30.333735,-97.74004,0,
5061,2024-11-01 16:44:16-05,2024-11-01,803,2811880_13111,4204,STOPPED_AT,9,30.33374,-97.74004,0,
5061,2024-11-01 16:44:26-05,2024-11-01,803,2811880_13111,4204,STOPPED_AT,9,30.33374,-97.74004,0,
5061,2024-11-01 16:44:41-05,2024-11-01,803,2811880_13111,4204,STOPPED_AT,9,30.333735,-97.74004,0.04,
5061,2024-11-01 16:45:01-05,2024-11-01,803,2811880_13111,4204,STOPPED_AT,9,30.33349,-97.74006,7.6,184
5061,2024-11-01 16:45:16-05,2024-11-01,803,2811880_13111,684,IN_TRANSIT_TO,10,30.332327,-97.74013,9.7,179.1
